_id,text
ObjectId(59fd5c2ec1668e6f02250a13),@daffl I just found a way of how to do it!
ObjectId(59fd5c2ec1668e6f02250a14),"Hello guys, Please I’m having an issue implementing a double authentication (if I’m permitted to call it that) on my feathers app. The issue is, I have a user model and also a worker model in which they both contain a unique email field. So when logging in, if the client specifies worker: true in the request body, I want it to lookup the worker table and not the default user table. I have tried a lot of methods to bypass this, the simplest of which is having a beforeHook for my authentication endpoint:
if (hook.data.worker) {

    let config = hook.app.get('authentication');

    config.service = 'worker';

    config.local.service = 'worker';

    hook.app.set('authentication', config);

    return hook;
}

But I noticed this didn’t change anything probably because app.configure(authentication) has auto-configured the app to lookup the user table the first time the server is lifted. Please, how do I go about this? I have done a lot of googling around and reading docs. Thanks."
ObjectId(59fd5c2ec1668e6f02250a15),"@swarthout in the feathers-apollo example, in the graphiql editor how do i use the authentication token thats returned by new user mutation, when working to create a new post?"
ObjectId(59fd5c2ec1668e6f02250a16),Hi guys. Just starting with feathersjs and trying to assess it for a project. It's a react native app that needs a back end and I would love to go with Graphql on this one. But I'm a bit stuck on authenticating with social. I'm using react-native-fbsdk in-app and can get an access token but after that I'm pretty unsure how to proceed. Any tips on where should I do my reading?
ObjectId(59fd5c2ec1668e6f02250a17),"Hi guys, I need to share a common instance of a third party sdk between various services... how can I do it? Right now I intialize it inside every service where I need it..."
ObjectId(59fd5c2ec1668e6f02250a18),"export default function () {
	const app = this
	const config = app.get('auth') || {}
	// const jwtKey = 'jwt'
	// const jwtConfig = config[jwtKey] || {}

	app.configure(authentication(config))
	app.configure(jwt())

	const auth0axios = Axios.create({
		baseURL: 'https://XXXXX.auth0.com/',
		timeout: 1000,
		headers: {'X-Custom-Header': 'foobar'}
	})

	const auth0Hook = () =>  {
		return async (hook) => {
			if (hook.data.strategy !== 'auth0')
				return

			try {
				const auth0response: any = await auth0axios.get('/userinfo', {
						headers: {Authorization : 'Bearer ' + hook.data.accessToken }
					})

				if (!auth0response.data.email_verified)
					return

				// Clear the hook
				delete hook.data

				// Let's see if the user already exists
				// and if not, create the user
				const usersService = app.service('users')
				const userResponse = await usersService.find({auth0: {id : auth0response.user_id}})
				const user = userResponse.data[0] ||
					await usersService.create({
						email: auth0response.data.email,
						auth0 : {
							id : auth0response.data.user_id
						}
					})

				const token = await app.passport.createJWT({
					userId: user._id
				}, {
					secret: 'This_will_be_replaced_in_production_environment'})
				console.log('GEN TOKEN', token)
				hook.data = {strategy: 'jwt',
							accessToken : token}
				return hook

			} catch (ex) {
				console.log('EXCEPTION', ex)
			}
		}
	}

	app.service('auth').hooks({
		before: {
			create: [
				auth0Hook(),
				authentication.hooks.authenticate(config.strategies)
			],
			remove: [
				authentication.hooks.authenticate('jwt')
			]
		}
	})
}
I am trying to implement an authorization hook that takes an Auth0 token, fetches the user data from Auth0 and create a local user. Unfortunately, the above does not successfully then pass on the jwt token to the jwt strategy. Any pointers on how to do this sort of token swapping?"
ObjectId(59fd5c2ec1668e6f02250a19),"can someone help me understand how to do a nested populate. I have read the docs but still can not get it to work. example result data:
{
  event: {
   nameId: 123....,
  } 
}

I have my populate schema : { include: [{ service: 'events', nameAs: 'event.name', parentField: 'event.nameId', childField: '_id', } ] } It get an error on client side of Cannot read property 'push' of undefined. Any help would be greatly Appreciated"
ObjectId(59fd5c2ec1668e6f02250a1a),"New to featherjs. So I'm following this tutorial: https://blog.feathersjs.com/a-real-time-chat-frontend-with-plain-javascript-and-feathers-34e92bcce386. When I run the server it has two undefined users with message ""hello world"". Is this being stored in a file somewhere or locally generated? Instead of that how would I be able to parse through a file like fakedata.json with something like { ""messages"": [ { ""id"": 1, ""author"": ""Jane"", ""timestamp"": 1421953410956, ""content"": ""Hello!"" }, { ""id"": 2, ""author"": ""Sam"", ""timestamp"": 1421953434028, ""content"": ""How are you?"", ""last_edited"": 1421953454124 }, { ""id"": 3, ""author"": ""Jane"", ""timestamp"": 1421953433276, ""content"": ""I'm in SAT!"" } ], }
The Feathers documentation has a guide for creating a chat API including a simple frontend. But how do you integrate it with other…"
ObjectId(59fd5c2ec1668e6f02250a1b),"To simulate that there were past messages in the chat already when you first join and I keep track of those message with ids. I want to be able to show the information from this json if possible: { ""messages"": [ { ""id"": 1, ""author"": ""Jane"", ""timestamp"": 1421953410956, ""content"": ""Hello!"" }, { ""id"": 2, ""author"": ""Sam"", ""timestamp"": 1421953434028, ""content"": ""How are you?"", ""last_edited"": 1421953454124 }, { ""id"": 3, ""author"": ""Jane"", ""timestamp"": 1421953433276, ""content"": ""I'm in SAT!"" }, { ""id"": 4, ""author"": ""Jane"", ""timestamp"": 1421953454129, ""content"": ""Flight is delayed. 😛 San Antonio TSA was the friendliest I've ever encountered, though. And I have a hamburger, a beer, and decent wifi."" }, { ""id"": 5, ""author"": ""Sam"", ""timestamp"": 1421953475813, ""content"": ""Not bad."" }, { ""id"": 6, ""author"": ""alex"", ""timestamp"": 1421953485810, ""content"": ""do you still need a ride from the airport?"" }, { ""id"": 7, ""author"": ""Jane"", ""timestamp"": 1421953502796, ""content"": ""@alex: Yeah, likely will get my bags after BART stops running. They're saying the ETA is 11:40pm now. Is that too late for you?"", ""last_edited"": 1421953556411 }, { ""id"": 8, ""author"": ""Sam"", ""timestamp"": 1421953569386, ""content"": ""Liana says hi!"" }, { ""id"": 9, ""author"": ""alex"", ""timestamp"": 1421953569386, ""content"": ""that's fine"" }, { ""id"": 10, ""author"": ""Carly"", ""timestamp"": 1421953591994, ""content"": ""https://medium.com/the-nib/the-truth-about-the-internet-fb8864c92185 oh dear"" }, { ""id"": 11, ""author"": ""alex"", ""timestamp"": 1421953601859, ""content"": ""i'm on like aleutian time these days :P"", ""last_edited"": ""1421953605859"" }, { ""id"": 12, ""author"": ""Jane"", ""timestamp"": 1421953638978, ""content"": ""Hi Lili! How did your art show go? :D"" }, { ""id"": 13, ""author"": ""Carly"", ""timestamp"": 1421953496000, ""content"": ""Wheeeeee."" }, { ""id"": 14, ""author"": ""Sam"", ""timestamp"": 1421953733618, ""content"": ""@Carly: Pretty much."" } ], ""last_seen"": 1421953648024 }
it will scare you"
ObjectId(59fd5c2ec1668e6f02250a1c),"So, a really noob questions I think, but really do not come out from this. Setup of my backend project: with feathers-cli, all system go. But I've no clue how to correct Login and get a jwt token, I've setup authentication jwt succesfully"
ObjectId(59fd5c2ec1668e6f02250a1d),i believe this has something to do with the return result not being an object. I have lean:true for this service. anyone know how to handle this?
ObjectId(59fd5c2ec1668e6f02250a1e),"Hi Guys! I´m trying to do the following: Summary: When i call a service (/properties/id), i will like to bring more information to the response from other services. I´m using mongoose and mongodb. Exact need: My service (/properties/id) will bring me fields like ( city_id, actiontype_id,country_id) i will like to take those id´s and get the name of each field from each service, For example get from (/actions) the name of the action that matches that id, from (/cities) the name of the city that matches that id and the same with the country. I think this should be done in the before hook of /properties and i also took a look to the docs but i only find populate and it just wont work or i dont know how to use it. Please help me know to get the response with the properties fields but also with the other fields. Thank You to all"
ObjectId(59fd5c2ec1668e6f02250a1f),steve uploaded a file: Untitled
ObjectId(59fd5c2ec1668e6f02250a20),"How do I use the find method to query nested data? eg. {id: '1', details: {email: 'email@email.com'}}. Tried:
const email = 'email@email.com'
app.service('users').find({query: {details: {email}}})
"
ObjectId(59fd5c2fc1668e6f02250a21),so how do i get the actual value?
ObjectId(59fd5c2fc1668e6f02250a22),how do I use $unset when updateing an object (using mongoose)?
ObjectId(59fd5c2fc1668e6f02250a23),"How can I query for a document using .find() then obtain it's id so that I can remove it? This is what I'm trying to do:
contact.remove(contact.find({ myId : '000000'}).then(data => data.myId == 'someID'));
"
ObjectId(59fd5c2fc1668e6f02250a24),"I managed to find a syntax that works for this case! Looks like the Sequelize syntax passes basically unchanged to the db adapter, so we can do:
.find({
  query: {
    body: { 
      $contains: {
        tags: ['baz']
      }
    }
  })

Note: They key difference from what I was trying is that the $contains operator needs to be raised above the array type. (This is how the underlying Postgres syntax works, too)"
ObjectId(59fd5c2fc1668e6f02250a25),"You could probably arrange to do the same thing through Mongoose models, but it’s not how I would do it."
